Potential,Kinetic,Total_E,Temperature,Pressure,Volume,Number,Potential-std,Kinetic-std,Total_E-std,Pressure-std
-3.1636755532393526,746.9995331163767,743.8358578348831,100.0,0.4111859083683263,0.2,600.0,2.0786655278151427,25.418707131174287,25.50228920957992,0.014857037755302348
-6.973776719106179,746.9999843134374,740.0262076094781,100.0,0.20573097645470906,0.4,600.0,2.4550702184823936,25.40338701930339,25.613343239601555,0.007471872251812528
3.035191323635273,747.0058678071385,750.0410593615777,100.0,0.1379925203959208,0.6000000000000001,600.0,0.9463539585399152,25.43427083944345,25.412810878514325,0.004798879768427999
2.8283132378524294,747.0070566822136,749.8353700667366,100.0,0.10347724310137973,0.8,600.0,1.2437353757318195,25.433674337244756,25.438840680859762,0.0035852649798229406
3.8340111078284345,747.0049356982603,750.8389470949311,100.0,0.08286816826634674,1.0,600.0,0.7698311569783374,25.42158845167449,25.430539914999905,0.00285575550458725
4.314799104829034,747.0063911226755,751.3211920986804,100.0,0.04146276544691062,2.0,600.0,0.5656985000966823,25.426059274977614,25.409396292514934,0.001418868880056958
4.6462103806238755,747.0057828471807,751.651988970006,100.0,0.027655787792441513,3.0,600.0,0.38758949384845187,25.4229662088397,25.432976010062927,0.0009444425933038686
4.742341829034194,747.007210344931,751.7495604872524,100.0,0.02074489832033593,4.0,600.0,0.3207058159200996,25.428102899938644,25.41237734431045,0.0007089903666420157
4.7920022828434305,747.0074248927715,751.7994202994901,100.0,0.016596117576484704,5.0,600.0,0.25697476418243526,25.425464838001425,25.42682550381758,0.00056617282806468
4.786676812687463,747.0063026372227,751.7929793459807,100.0,0.0138295224955009,6.0,600.0,0.28525576358389026,25.421393462093445,25.42455666159931,0.00047118869064039913
4.497264037642472,747.0058639793042,751.5031308711757,100.0,0.011849672765446911,7.0,600.0,0.4326584464300905,25.42258248507959,25.43676984860144,0.00040428749748168906
4.8420560784343145,747.0074473213857,751.8495154643072,100.0,0.010373263347330536,8.0,600.0,0.222038493559769,25.419456464501966,25.426717261177334,0.00035342551890720934
4.850318598230354,747.0063045076486,751.8566392609479,100.0,0.009221068836232754,9.0,600.0,0.21028605638885034,25.424872549621803,25.428669492852332,0.00031422632333108334
4.839129235752849,747.006476254499,751.8455890961308,100.0,0.008298645020995801,10.0,600.0,0.22712454457826922,25.423124194660456,25.425911966206037,0.00028266752595347566